"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2019-06-01,"Sud-Kivu","Fizi","current","3+",165273,0.2
"2",2019-06-01,"Sud-Kivu","Mwenga","current","3+",147302,0.2
"3",2019-06-01,"Sud-Kivu","Idjwi","current","3+",55748,0.2
"4",2019-06-01,"Sud-Kivu","Kabare","current","3+",210075,0.25
"5",2019-06-01,"Sud-Kivu","Kalehe","current","3+",248835,0.3
"6",2019-06-01,"Sud-Kivu","Shabunda","current","3+",264584,0.4
"7",2019-06-01,"Sud-Kivu","Uvira","current","3+",101139,0.2
"8",2019-06-01,"Sud-Kivu","Walungu","current","3+",231275,0.25
