"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2023-04-01,"Sud Kivu","Bukavu","projected","all",1010716,1
"2",2023-04-01,"Sud Kivu","Bukavu","projected","3+",50535,0.05
"3",2023-04-01,"Sud Kivu","Bukavu","projected","1",353750,0.35
"4",2023-04-01,"Sud Kivu","Bukavu","projected","2",606429,0.6
"5",2023-04-01,"Sud Kivu","Bukavu","projected","3",50535,0.05
"6",2023-04-01,"Sud Kivu","Bukavu","projected","4",0,0
"7",2023-04-01,"Sud Kivu","Bukavu","projected","5",0,0
"8",2023-04-01,"Sud Kivu","Fizi","projected","all",890845,1
"9",2023-04-01,"Sud Kivu","Fizi","projected","3+",222711,0.25
"10",2023-04-01,"Sud Kivu","Fizi","projected","1",178169,0.2
"11",2023-04-01,"Sud Kivu","Fizi","projected","2",489964,0.55
"12",2023-04-01,"Sud Kivu","Fizi","projected","3",178169,0.2
"13",2023-04-01,"Sud Kivu","Fizi","projected","4",44542,0.05
"14",2023-04-01,"Sud Kivu","Fizi","projected","5",0,0
"15",2023-04-01,"Sud Kivu","Idjwi","projected","all",300491,1
"16",2023-04-01,"Sud Kivu","Idjwi","projected","3+",30049,0.1
"17",2023-04-01,"Sud Kivu","Idjwi","projected","1",90147,0.3
"18",2023-04-01,"Sud Kivu","Idjwi","projected","2",180294,0.6
"19",2023-04-01,"Sud Kivu","Idjwi","projected","3",30049,0.1
"20",2023-04-01,"Sud Kivu","Idjwi","projected","4",0,0
"21",2023-04-01,"Sud Kivu","Idjwi","projected","5",0,0
"22",2023-04-01,"Sud Kivu","Kabare","projected","all",1096501,1
"23",2023-04-01,"Sud Kivu","Kabare","projected","3+",164475,0.15
"24",2023-04-01,"Sud Kivu","Kabare","projected","1",328950,0.3
"25",2023-04-01,"Sud Kivu","Kabare","projected","2",603075,0.55
"26",2023-04-01,"Sud Kivu","Kabare","projected","3",164475,0.15
"27",2023-04-01,"Sud Kivu","Kabare","projected","4",0,0
"28",2023-04-01,"Sud Kivu","Kabare","projected","5",0,0
"29",2023-04-01,"Sud Kivu","Kalehe","projected","all",894165,1
"30",2023-04-01,"Sud Kivu","Kalehe","projected","3+",223541,0.25
"31",2023-04-01,"Sud Kivu","Kalehe","projected","1",223541,0.25
"32",2023-04-01,"Sud Kivu","Kalehe","projected","2",447082,0.5
"33",2023-04-01,"Sud Kivu","Kalehe","projected","3",178833,0.2
"34",2023-04-01,"Sud Kivu","Kalehe","projected","4",44708,0.05
"35",2023-04-01,"Sud Kivu","Kalehe","projected","5",0,0
"36",2023-04-01,"Sud Kivu","Mwenga","projected","all",793979,1
"37",2023-04-01,"Sud Kivu","Mwenga","projected","3+",119096,0.15
"38",2023-04-01,"Sud Kivu","Mwenga","projected","1",198494,0.25
"39",2023-04-01,"Sud Kivu","Mwenga","projected","2",476387,0.6
"40",2023-04-01,"Sud Kivu","Mwenga","projected","3",119096,0.15
"41",2023-04-01,"Sud Kivu","Mwenga","projected","4",0,0
"42",2023-04-01,"Sud Kivu","Mwenga","projected","5",0,0
"43",2023-04-01,"Sud Kivu","Shabunda","projected","all",713073,1
"44",2023-04-01,"Sud Kivu","Shabunda","projected","3+",142613,0.2
"45",2023-04-01,"Sud Kivu","Shabunda","projected","1",142614,0.2
"46",2023-04-01,"Sud Kivu","Shabunda","projected","2",427843,0.6
"47",2023-04-01,"Sud Kivu","Shabunda","projected","3",106960,0.15
"48",2023-04-01,"Sud Kivu","Shabunda","projected","4",35653,0.05
"49",2023-04-01,"Sud Kivu","Shabunda","projected","5",0,0
"50",2023-04-01,"Sud Kivu","Uvira","projected","all",545155,1
"51",2023-04-01,"Sud Kivu","Uvira","projected","3+",81773,0.15
"52",2023-04-01,"Sud Kivu","Uvira","projected","1",163546,0.3
"53",2023-04-01,"Sud Kivu","Uvira","projected","2",299835,0.55
"54",2023-04-01,"Sud Kivu","Uvira","projected","3",81773,0.15
"55",2023-04-01,"Sud Kivu","Uvira","projected","4",0,0
"56",2023-04-01,"Sud Kivu","Uvira","projected","5",0,0
"57",2023-04-01,"Sud Kivu","Walungu","projected","all",806648,1
"58",2023-04-01,"Sud Kivu","Walungu","projected","3+",120997,0.15
"59",2023-04-01,"Sud Kivu","Walungu","projected","1",241994,0.3
"60",2023-04-01,"Sud Kivu","Walungu","projected","2",443656,0.55
"61",2023-04-01,"Sud Kivu","Walungu","projected","3",120997,0.15
"62",2023-04-01,"Sud Kivu","Walungu","projected","4",0,0
"63",2023-04-01,"Sud Kivu","Walungu","projected","5",0,0
