"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"92",2021-02-01,"Sud Kivu","Uvira","current","all",899010,1
"93",2021-02-01,"Sud Kivu","Uvira","current","3+",224753,0.25
"94",2021-02-01,"Sud Kivu","Uvira","current","1",314654,0.35
"95",2021-02-01,"Sud Kivu","Uvira","current","2",359604,0.4
"96",2021-02-01,"Sud Kivu","Uvira","current","3",179802,0.2
"97",2021-02-01,"Sud Kivu","Uvira","current","4",44951,0.05
"98",2021-02-01,"Sud Kivu","Uvira","current","5",0,0
"99",2021-02-01,"Sud Kivu","Fizi","current","all",881807,1
"100",2021-02-01,"Sud Kivu","Fizi","current","3+",308632,0.35
"101",2021-02-01,"Sud Kivu","Fizi","current","1",176361,0.2
"102",2021-02-01,"Sud Kivu","Fizi","current","2",396813,0.45
"103",2021-02-01,"Sud Kivu","Fizi","current","3",264542,0.3
"104",2021-02-01,"Sud Kivu","Fizi","current","4",44090,0.05
"105",2021-02-01,"Sud Kivu","Fizi","current","5",0,0
"106",2021-02-01,"Sud Kivu","Shabunda","current","all",705838,1
"107",2021-02-01,"Sud Kivu","Shabunda","current","3+",282335,0.4
"108",2021-02-01,"Sud Kivu","Shabunda","current","1",105876,0.15
"109",2021-02-01,"Sud Kivu","Shabunda","current","2",317627,0.45
"110",2021-02-01,"Sud Kivu","Shabunda","current","3",211751,0.3
"111",2021-02-01,"Sud Kivu","Shabunda","current","4",70584,0.1
"112",2021-02-01,"Sud Kivu","Shabunda","current","5",0,0
"113",2021-02-01,"Sud Kivu","Kalehe","current","all",885094,1
"114",2021-02-01,"Sud Kivu","Kalehe","current","3+",177019,0.2
"115",2021-02-01,"Sud Kivu","Kalehe","current","1",177019,0.2
"116",2021-02-01,"Sud Kivu","Kalehe","current","2",531056,0.6
"117",2021-02-01,"Sud Kivu","Kalehe","current","3",132764,0.15
"118",2021-02-01,"Sud Kivu","Kalehe","current","4",44255,0.05
"119",2021-02-01,"Sud Kivu","Kalehe","current","5",0,0
"120",2021-02-01,"Sud Kivu","Mwenga","current","all",785923,1
"121",2021-02-01,"Sud Kivu","Mwenga","current","3+",196481,0.25
"122",2021-02-01,"Sud Kivu","Mwenga","current","1",157185,0.2
"123",2021-02-01,"Sud Kivu","Mwenga","current","2",432258,0.55
"124",2021-02-01,"Sud Kivu","Mwenga","current","3",196481,0.25
"125",2021-02-01,"Sud Kivu","Mwenga","current","4",0,0
"126",2021-02-01,"Sud Kivu","Mwenga","current","5",0,0
