"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2022-07-01,"Sud Kivu","Bukavu","current","all",1010716,1
"2",2022-07-01,"Sud Kivu","Bukavu","current","3+",151607,0.15
"3",2022-07-01,"Sud Kivu","Bukavu","current","1",454822,0.45
"4",2022-07-01,"Sud Kivu","Bukavu","current","2",404286,0.4
"5",2022-07-01,"Sud Kivu","Bukavu","current","3",151607,0.15
"6",2022-07-01,"Sud Kivu","Bukavu","current","4",0,0
"7",2022-07-01,"Sud Kivu","Bukavu","current","5",0,0
"8",2022-07-01,"Sud Kivu","Idjwi","current","all",300491,1
"9",2022-07-01,"Sud Kivu","Idjwi","current","3+",45074,0.15
"10",2022-07-01,"Sud Kivu","Idjwi","current","1",75123,0.25
"11",2022-07-01,"Sud Kivu","Idjwi","current","2",180295,0.6
"12",2022-07-01,"Sud Kivu","Idjwi","current","3",45074,0.15
"13",2022-07-01,"Sud Kivu","Idjwi","current","4",0,0
"14",2022-07-01,"Sud Kivu","Idjwi","current","5",0,0
"15",2022-07-01,"Sud Kivu","Kalehe","current","all",894165,1
"16",2022-07-01,"Sud Kivu","Kalehe","current","3+",268249,0.3
"17",2022-07-01,"Sud Kivu","Kalehe","current","1",178833,0.2
"18",2022-07-01,"Sud Kivu","Kalehe","current","2",447083,0.5
"19",2022-07-01,"Sud Kivu","Kalehe","current","3",223541,0.25
"20",2022-07-01,"Sud Kivu","Kalehe","current","4",44708,0.05
"21",2022-07-01,"Sud Kivu","Kalehe","current","5",0,0
"22",2022-07-01,"Sud Kivu","Shabunda","current","all",713073,1
"23",2022-07-01,"Sud Kivu","Shabunda","current","3+",178269,0.25
"24",2022-07-01,"Sud Kivu","Shabunda","current","1",106961,0.15
"25",2022-07-01,"Sud Kivu","Shabunda","current","2",427844,0.6
"26",2022-07-01,"Sud Kivu","Shabunda","current","3",142615,0.2
"27",2022-07-01,"Sud Kivu","Shabunda","current","4",35654,0.05
"28",2022-07-01,"Sud Kivu","Shabunda","current","5",0,0
"29",2022-07-01,"Sud Kivu","Kabare","current","all",1096501,1
"30",2022-07-01,"Sud Kivu","Kabare","current","3+",328950,0.3
"31",2022-07-01,"Sud Kivu","Kabare","current","1",219300,0.2
"32",2022-07-01,"Sud Kivu","Kabare","current","2",548251,0.5
"33",2022-07-01,"Sud Kivu","Kabare","current","3",274125,0.25
"34",2022-07-01,"Sud Kivu","Kabare","current","4",54825,0.05
"35",2022-07-01,"Sud Kivu","Kabare","current","5",0,0
"36",2022-07-01,"Sud Kivu","Fizi","current","all",890845,1
"37",2022-07-01,"Sud Kivu","Fizi","current","3+",356338,0.4
"38",2022-07-01,"Sud Kivu","Fizi","current","1",178169,0.2
"39",2022-07-01,"Sud Kivu","Fizi","current","2",356338,0.4
"40",2022-07-01,"Sud Kivu","Fizi","current","3",311796,0.35
"41",2022-07-01,"Sud Kivu","Fizi","current","4",44542,0.05
"42",2022-07-01,"Sud Kivu","Fizi","current","5",0,0
"43",2022-07-01,"Sud Kivu","Mwenga","current","all",793979,1
"44",2022-07-01,"Sud Kivu","Mwenga","current","3+",198495,0.25
"45",2022-07-01,"Sud Kivu","Mwenga","current","1",158796,0.2
"46",2022-07-01,"Sud Kivu","Mwenga","current","2",436688,0.55
"47",2022-07-01,"Sud Kivu","Mwenga","current","3",158796,0.2
"48",2022-07-01,"Sud Kivu","Mwenga","current","4",39699,0.05
"49",2022-07-01,"Sud Kivu","Mwenga","current","5",0,0
"50",2022-07-01,"Sud Kivu","Uvira","current","all",545155,1
"51",2022-07-01,"Sud Kivu","Uvira","current","3+",163547,0.3
"52",2022-07-01,"Sud Kivu","Uvira","current","1",136289,0.25
"53",2022-07-01,"Sud Kivu","Uvira","current","2",245320,0.45
"54",2022-07-01,"Sud Kivu","Uvira","current","3",136289,0.25
"55",2022-07-01,"Sud Kivu","Uvira","current","4",27258,0.05
"56",2022-07-01,"Sud Kivu","Uvira","current","5",0,0
"57",2022-07-01,"Sud Kivu","Walungu","current","all",806648,1
"58",2022-07-01,"Sud Kivu","Walungu","current","3+",120997,0.15
"59",2022-07-01,"Sud Kivu","Walungu","current","1",201662,0.25
"60",2022-07-01,"Sud Kivu","Walungu","current","2",483989,0.6
"61",2022-07-01,"Sud Kivu","Walungu","current","3",120997,0.15
"62",2022-07-01,"Sud Kivu","Walungu","current","4",0,0
"63",2022-07-01,"Sud Kivu","Walungu","current","5",0,0
