"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2022-07-01,"Sud Kivu","Bukavu","current","3+",151607,0.15
"2",2022-07-01,"Sud Kivu","Idjwi","current","3+",45074,0.15
"3",2022-07-01,"Sud Kivu","Kalehe","current","3+",268249,0.3
"4",2022-07-01,"Sud Kivu","Shabunda","current","3+",178269,0.25
"5",2022-07-01,"Sud Kivu","Kabare","current","3+",328950,0.3
"6",2022-07-01,"Sud Kivu","Fizi","current","3+",356338,0.4
"7",2022-07-01,"Sud Kivu","Mwenga","current","3+",198495,0.25
"8",2022-07-01,"Sud Kivu","Uvira","current","3+",163547,0.3
"9",2022-07-01,"Sud Kivu","Walungu","current","3+",120997,0.15
