Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,3+,211016,0.15
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,1,562711,0.4
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,2,633050,0.45
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,3,211016,0.15
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kinshasa,Ngaliema,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,all,294210,1
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,3+,44131,0.15
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,1,102973,0.35
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,2,147105,0.5
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,3,44131,0.15
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kinshasa,Ngiri-ngiri,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,all,319102,1
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,3+,47865,0.15
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,1,111685,0.35
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,2,159551,0.5
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,3,47865,0.15
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kinshasa,Nsele,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,all,631293,1
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,3+,94693,0.15
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,1,220952,0.35
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,2,315646,0.5
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,3,63129,0.1
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,4,31564,0.05
4/1/2023,COD,109569000,Kinshasa,Selembao,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,all,1728582,1
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,3+,691433,0.4
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,1,86429,0.05
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,2,950720,0.55
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,3,518575,0.3
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,4,172858,0.1
4/1/2023,COD,109569000,Nord Kivu,Masisi,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,all,1303473,1
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,3+,716910,0.55
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,1,195521,0.15
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,2,391042,0.3
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,3,521389,0.4
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,4,195521,0.15
4/1/2023,COD,109569000,Nord Kivu,Beni,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,all,799872,1
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,3+,199968,0.25
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,1,239962,0.3
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,2,359942,0.45
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,3,159974,0.2
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,4,39994,0.05
4/1/2023,COD,109569000,Nord Kivu,Goma,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,all,352971,1
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,3+,176485,0.5
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,1,70594,0.2
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,2,105891,0.3
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,3,141188,0.4
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,4,35297,0.1
4/1/2023,COD,109569000,Nord Kivu,Beni-ville,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,all,671519,1
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,3+,134302,0.2
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,1,235031,0.35
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,2,302183,0.45
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,3,100727,0.15
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,4,33575,0.05
4/1/2023,COD,109569000,Nord Kivu,Butembo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,all,1344147,1
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,3+,604865,0.45
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,1,403244,0.3
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,2,336036,0.25
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,3,537658,0.4
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,4,67207,0.05
4/1/2023,COD,109569000,Nord Kivu,Lubero,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,all,399936,1
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,3+,199968,0.5
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,1,59990,0.15
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,2,139978,0.35
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,3,139978,0.35
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,4,59990,0.15
4/1/2023,COD,109569000,Nord Kivu,Nyiragongo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,all,1431769,1
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,3+,930650,0.65
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,1,71588,0.05
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,2,429531,0.3
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,3,644296,0.45
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,4,286354,0.2
4/1/2023,COD,109569000,Nord Kivu,Rutshuru,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,all,542761,1
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,3+,217104,0.4
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,1,135690,0.25
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,2,189966,0.35
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,3,135690,0.25
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,4,81414,0.15
4/1/2023,COD,109569000,Nord Kivu,Walikale,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,all,277779,1
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,3+,27777,0.1
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,1,111111,0.4
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,2,138889,0.5
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,3,27777,0.1
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Bandundu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,all,1742279,1
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,3+,261341,0.15
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,1,609797,0.35
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,2,871139,0.5
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,3,261341,0.15
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Idiofa,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,all,696053,1
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,3+,313223,0.45
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,1,174013,0.25
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,2,208815,0.3
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,3,313223,0.45
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Bagata,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,all,1696142,1
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,3+,169614,0.1
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,1,848071,0.5
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,2,678456,0.4
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,3,169614,0.1
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Bulungu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,all,748566,1
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,3+,261998,0.35
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,1,261998,0.35
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,2,224569,0.3
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,3,261998,0.35
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Gungu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,all,692910,1
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,3+,69291,0.1
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,1,311809,0.45
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,2,311809,0.45
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,3,69291,0.1
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Kikwit,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,all,1014903,1
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,3+,253725,0.25
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,1,405961,0.4
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,2,355216,0.35
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,3,253725,0.25
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwilu,Masi-manimba,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,all,865052,1
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,3+,259515,0.3
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,1,302768,0.35
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,2,302768,0.35
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,3,259515,0.3
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Mongala,Bumba,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,all,693782,1
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,3+,277512,0.4
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,1,173445,0.25
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,2,242823,0.35
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,3,242823,0.35
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,4,34689,0.05
4/1/2023,COD,109569000,Mongala,Bongandanga,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,all,613727,1
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,3+,122745,0.2
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,1,214804,0.35
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,2,276177,0.45
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,3,92059,0.15
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,4,30686,0.05
4/1/2023,COD,109569000,Mongala,Lisala,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,all,414219,1
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,3+,62132,0.15
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,1,124265,0.3
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,2,227820,0.55
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,3,62132,0.15
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwango,Feshi,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,all,461594,1
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,3+,115398,0.25
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,1,138478,0.3
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,2,207717,0.45
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,3,115398,0.25
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwango,Kahemba,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,all,763437,1
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,3+,152687,0.2
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,1,229031,0.3
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,2,381718,0.5
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,3,152687,0.2
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwango,Kenge,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,all,835408,1
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,3+,250622,0.3
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,1,208852,0.25
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,2,375933,0.45
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,3,208852,0.25
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,4,41770,0.05
4/1/2023,COD,109569000,Kwango,Kasongo-lunda,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,all,211936,1
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,3+,21193,0.1
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,1,74177,0.35
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,2,116564,0.55
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,3,21193,0.1
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kwango,Popokabaka,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,all,406127,1
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,3+,60919,0.15
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,1,142144,0.35
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,2,203063,0.5
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,3,60919,0.15
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Lualaba,Kapanga,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,all,737554,1
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,3+,147510,0.2
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,1,221266,0.3
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,2,368777,0.5
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,3,147510,0.2
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Lualaba,Dilolo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,all,856511,1
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,3+,85651,0.1
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,1,214127,0.25
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,2,556732,0.65
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,3,85651,0.1
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Lualaba,Lubudi,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,all,409020,1
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,3+,20451,0.05
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,1,184059,0.45
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,2,204510,0.5
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,3,20451,0.05
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Lualaba,Mutshatsha,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,all,566822,1
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,3+,113364,0.2
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,1,141705,0.25
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,2,311752,0.55
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,3,113364,0.2
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Lualaba,Sandoa,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,all,378573,1
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,3+,170357,0.45
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,1,56785,0.15
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,2,151429,0.4
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,3,132500,0.35
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,4,37857,0.1
4/1/2023,COD,109569000,Tanganyika,Nyunzu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,all,368546,1
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,3+,165845,0.45
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,1,55281,0.15
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,2,147418,0.4
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,3,128991,0.35
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,4,36854,0.1
4/1/2023,COD,109569000,Tanganyika,Kabalo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,all,948511,1
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,3+,474255,0.5
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,1,94851,0.1
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,2,379404,0.4
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,3,379404,0.4
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,4,94851,0.1
4/1/2023,COD,109569000,Tanganyika,Kalemie,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,all,718636,1
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,3+,251521,0.35
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,1,143727,0.2
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,2,323386,0.45
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,3,215590,0.3
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,4,35931,0.05
4/1/2023,COD,109569000,Tanganyika,Kongolo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,all,1026627,1
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,3+,513312,0.5
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,1,102662,0.1
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,2,410650,0.4
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,3,410650,0.4
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,4,102662,0.1
4/1/2023,COD,109569000,Tanganyika,Manono,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tanganyika,Moba,projected,1/1/2023,6/30/2023,all,710114,1
4/1/2023,COD,109569000,Tanganyika,Moba,projected,1/1/2023,6/30/2023,3+,248539,0.35
4/1/2023,COD,109569000,Tanganyika,Moba,projected,1/1/2023,6/30/2023,1,177528,0.25
4/1/2023,COD,109569000,Tanganyika,Moba,projected,1/1/2023,6/30/2023,2,284045,0.4
