Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
4/1/2023,COD,109569000,Kasaï Central,Dibaya,projected,1/1/2023,6/30/2023,1,80297,0.15
4/1/2023,COD,109569000,Kasaï Central,Dibaya,projected,1/1/2023,6/30/2023,2,214125,0.4
4/1/2023,COD,109569000,Kasaï Central,Dibaya,projected,1/1/2023,6/30/2023,3,240891,0.45
4/1/2023,COD,109569000,Kasaï Central,Dibaya,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kasaï Central,Dibaya,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,all,927734,1
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,3+,324706,0.35
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,1,185546,0.2
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,2,417480,0.45
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,3,324706,0.35
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kasaï Central,Kananga,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,all,840318,1
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,3+,336127,0.4
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,1,168063,0.2
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,2,336127,0.4
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,3,336127,0.4
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kasaï Central,Kazumba,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,all,780827,1
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,3+,351372,0.45
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,1,78082,0.1
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,2,351372,0.45
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,3,351372,0.45
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kasaï Central,Luiza,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,all,238214,1
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,3+,35731,0.15
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,1,83374,0.35
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,2,119107,0.5
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,3,23821,0.1
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,4,11910,0.05
4/1/2023,COD,109569000,Bas Uélé,Aketi,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,all,120131,1
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,3+,30032,0.25
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,1,30032,0.25
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,2,60065,0.5
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,3,24026,0.2
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,4,6006,0.05
4/1/2023,COD,109569000,Bas Uélé,Ango,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,all,144337,1
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,3+,21649,0.15
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,1,50517,0.35
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,2,72168,0.5
